wallet_address,reward_morbius,balance_morbius
0x284ead7ce81ece755738e23743c7623e91fc7c8c,290.762176151851657248,351871.022741520398820684
0x12d63b76b9f093b8b6baddce670ed863935a0500,289.161161860944972627,349933.526800951728670627
0xddc2a9a90b4c60279243b38657a61f0dc83c9648,286.524810077995144711,346743.098766431465056495
0xa63adfc305367d017bc3d5157d6b8de61d67ba0b,267.512902680998062351,323735.50063731752435125
0xaacdb8562cf80217d6d52b848d47c9dbca35e4e9,265.52745784949496366,321332.779235573014951427
0xd854200599bdddcda3a95adad3bd898271ca6062,263.613475658150596291,319016.539619778991888062
0xc792a5795ab0c44ade5ac2bdea8a9b6177f4b878,263.2085094794737764,318526.462590666653370134
0xa0adeee037bc410784a20e7c89e834e2f55bc088,260.354497996337034612,315072.629795843647924766
0xb7e9224dd35ca690c02c960c59fe851705202a2a,256.383035450517597132,310266.493708021454522893
0xbd3ceb5a064a39bba54eea0f7ef55cc01fe13d27,253.81998877786260357,307164.777157480979030201
0xc4dd850fe282dfad87e1451257c497385b0bf6ab,238.639956628577576639,288794.391062872480446992
0xf9e48f4c0eb3aa7709331ea89b9ac30351ecc391,231.499012734889154519,280152.650708378444019208
0xd9b5b493d390fb29a2e5ddec9d831e2c71c70e1e,224.944495623498832312,272220.585162283441071646
0xdffa963fc0fc862f2e6cf2a29dba627d66833e66,206.988387011178365957,250490.680724591713566185
0x524887e2dcb49c5085196f1988bb4260f44112e1,191.044724847566093147,231196.174176306596948189
0xf9a5f004b6d98db123b46a8d329621559e54730d,190.979631249494219157,231117.4
0xade4a9a76ca6a31970b8e22b7fc692b714f03f25,189.478523894519480387,229300.808216191340627341
0x899720baa52df75c47a0c440cf5bf7818d796c4f,174.471382597180327035,211139.649063346669883011
0xd9521fc5990ca3ec1f60d0fc7d2e83dfbd620e9c,174.447708968445422575,211111.000000166583246511
0xb6987cc449f82ac9456c35d969800c9522d91bf2,168.108244196157761015,203439.183869949834544823
0xe1e206e15e40531b3c552e57f862a5da84b54051,166.456801489158641583,201440.6610840723269935
0x66afda0432c237a182669cab701bef60393d0ce6,165.266337583837667919,200000.0
0x31415995b2ffadf05fe929fdb6a87fd18a2817dd,164.930541124983045886,199593.629938481239180038
0xafd8172fb668ef41d9f7da54b64b6558779361dd,145.251738374021988199,175778.976526707976321381
0x83590c69b6a036325ad2618a19ff79e0e37f0c79,143.202878586672944964,173299.512387424704821299
0xa879bd0867d55cbbcb7e793b1bbe648193ebd74f,116.483448667356846702,140964.518691855398768106
0xe8cdfe8bb310b23da4e1453ceca3dc0a8dc5c2c4,115.857007247940707134,140206.419458128078817734
0x928895bbaa9b22414b8989ce9f1fe1d040eaee5b,91.576570720679200114,110823.017027558299484895
0x6fc27a4cc7869add7251bdd74a760eb8291a537e,90.10678362663159185,109044.328014979434087951
0x9f864e9c0f0bd94b4fcf7c835495cc4842e92355,84.477067746764871528,102231.427139735155480576
0xf82dfbe8ddb7a7606553f0dea7da66951e6957d5,82.633995123606753148,100001.0
0x5b64f76fc86965469976583629ddc7fed82c3eae,82.633168791918833959,100000.0
0x9067d7407841628f4cb964ffd80b15a5734cf810,82.633168791918833959,100000.0
0xbc21f1228f3d2cb3867ea504d4007c3ce2dc5ce2,80.483149328587668087,97398.115678287496020333
0x8ce7124b31c50519dd45e722e3d3a7df6321c73d,71.77703163895672497,86862.252396130072906629
0x686d160c9be40480203fcf3e0cd44eb8d1678e85,69.047444816187992487,83558.994318683968415815
0x6e9f49cd04eceb3839fc9443974c1b7518df58aa,58.900922714879744846,71280.0
0xa7c94d3276fb156005ef46cb7d4163dae7dc3c9c,57.557365537253450304,69654.070367542665729459
0x12f79c9fd9f8ee94f84b39a42a2975dfb42ddf34,41.072406749502859804,49704.504075026544678109
